,ID_hecho,FECHA,ROL,VEHICULO_FALLECIDO,SEXO,EDAD,N_VICTIMAS,HORA_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
313,2018-0026,2018-03-09,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,30,2,4,AVENIDA,4,-58.41657793,-34.65476216,MOVIL-CARGAS,MOVIL,CARGAS
314,2018-0027,2018-03-11,PEATON,PEATON,FEMENINO,74,1,23,CALLE,5,-58.41911301,-34.63722107,PEATON-MOTO,PEATON,MOTO
315,2018-0028,2018-03-13,PEATON,PEATON,MASCULINO,71,1,15,AVENIDA,9,-58.47120586,-34.64251042,PEATON-CARGAS,PEATON,CARGAS
316,2018-0029,2018-03-15,CONDUCTOR,MOTO,MASCULINO,26,1,18,AVENIDA,11,-58.47418944,-34.62049672,MOTO-AUTO,MOTO,AUTO
317,2018-0030,2018-03-20,CONDUCTOR,MOTO,MASCULINO,24,1,1,AVENIDA,15,-58.46720441,-34.57905579,MOTO-MOTO,MOTO,MOTO
318,2018-0031,2018-03-28,CONDUCTOR,MOTO,MASCULINO,31,1,10,AVENIDA,11,-58.46909362,-34.6177971,MOTO-CARGAS,MOTO,CARGAS
319,2018-0032,2018-04-02,PEATON,PEATON,MASCULINO,70,1,13,AVENIDA,13,-58.44704343,-34.5688864,PEATON-PASAJEROS,PEATON,PASAJEROS
320,2018-0033,2018-04-07,CONDUCTOR,MOTO,FEMENINO,42,1,7,AVENIDA,10,-58.50535541,-34.62902048,MOTO-CARGAS,MOTO,CARGAS
321,2018-0034,2018-04-11,PEATON,PEATON,MASCULINO,24,1,18,AVENIDA,2,-58.40021675,-34.59522198,PEATON-PASAJEROS,PEATON,PASAJEROS
322,2018-0035,2018-04-12,PEATON,PEATON,FEMENINO,39,1,16,AVENIDA,7,-58.46325991,-34.62919627,PEATON-PASAJEROS,PEATON,PASAJEROS
